STATE/UT,Total_ipc_Crime
LAKSHADWEEP,1486
DAMAN & DIU,5896
D & N HAVELI,9302
SIKKIM,14000
A & N ISLANDS,18204
NAGALAND,26266
MEGHALAYA,50498
MIZORAM,52292
ARUNACHAL PRADESH,55304
GOA,64102
MANIPUR,70144
CHANDIGARH,81614
TRIPURA,105468
PUDUCHERRY,108232
UTTARAKHAND,206408
HIMACHAL PRADESH,309896
JAMMU & KASHMIR,518310
PUNJAB,768262
JHARKHAND,844702
CHHATTISGARH,1122054
HARYANA,1190606
ASSAM,1195528
DELHI UT,1266348
ODISHA,1295892
WEST BENGAL,2238608
BIHAR,2692586
GUJARAT,2771550
KERALA,2874918
KARNATAKA,2962126
RAJASTHAN,3711832
UTTAR PRADESH,3716148
ANDHRA PRADESH,4037962
TAMIL NADU,4120352
MAHARASHTRA,4546872
MADHYA PRADESH,4827540
