STATE/UT,PlaceOfOccurrence,Dacoity,Robbery,Burglary,Theft
A&N Islands,BANKS,0,1,1,20
A&N Islands,COMMERCIAL ESTABLISHMENTS,0,1,110,144
A&N Islands,HIGH-WAY,0,0,0,0
A&N Islands,OTHER PLACES,15,64,188,668
A&N Islands,OTHERS RLY.,0,0,0,0
A&N Islands,RAILWAYS,0,0,0,0
A&N Islands,RESIDENTIAL PREMISES,0,8,592,252
A&N Islands,RIVER & SEA,0,0,1,40
A&N Islands,RUNNING TRAINS,0,0,0,0
A&N Islands,TOTAL (MANUAL),15,74,892,1124
A&N Islands,TOTAL COMPUTER FROM 1 TO 7,8,24,308,337
Andhra Pradesh,BANKS,7,13,262,478
Andhra Pradesh,COMMERCIAL ESTABLISHMENTS,74,232,12032,30960
Andhra Pradesh,HIGH-WAY,471,1486,504,3544
Andhra Pradesh,OTHER PLACES,544,3037,14226,141625
Andhra Pradesh,OTHERS RLY.,21,124,151,6204
Andhra Pradesh,RAILWAYS,43,204,152,12577
Andhra Pradesh,RESIDENTIAL PREMISES,845,2612,70059,97567
Andhra Pradesh,RIVER & SEA,3,21,101,439
Andhra Pradesh,RUNNING TRAINS,22,80,1,6373
Andhra Pradesh,TOTAL (MANUAL),1987,7605,97336,287190
Andhra Pradesh,TOTAL COMPUTER FROM 1 TO 7,661,2071,22802,59751
Arunachal Pradesh,BANKS,1,0,1,0
Arunachal Pradesh,COMMERCIAL ESTABLISHMENTS,29,164,654,758
Arunachal Pradesh,HIGH-WAY,19,69,9,128
Arunachal Pradesh,OTHER PLACES,92,288,767,2045
Arunachal Pradesh,OTHERS RLY.,0,0,0,0
Arunachal Pradesh,RAILWAYS,0,0,0,0
Arunachal Pradesh,RESIDENTIAL PREMISES,119,321,1349,2243
Arunachal Pradesh,RIVER & SEA,0,1,0,4
Arunachal Pradesh,RUNNING TRAINS,0,0,0,0
Arunachal Pradesh,TOTAL (MANUAL),260,843,2780,5178
Arunachal Pradesh,TOTAL COMPUTER FROM 1 TO 7,87,322,975,1771
Assam,BANKS,15,31,24,82
Assam,COMMERCIAL ESTABLISHMENTS,288,882,5545,11229
Assam,HIGH-WAY,420,991,515,1833
Assam,OTHER PLACES,782,3129,10104,33996
Assam,OTHERS RLY.,16,46,164,1090
Assam,RAILWAYS,34,63,173,1243
Assam,RESIDENTIAL PREMISES,2612,2357,18375,37042
Assam,RIVER & SEA,19,14,16,50
Assam,RUNNING TRAINS,18,17,9,153
Assam,TOTAL (MANUAL),4170,7467,34752,85475
Assam,TOTAL COMPUTER FROM 1 TO 7,1810,2268,9788,22816
Bihar,BANKS,154,97,36,90
Bihar,COMMERCIAL ESTABLISHMENTS,399,862,2711,14233
Bihar,HIGH-WAY,1934,11913,267,4665
Bihar,OTHER PLACES,1492,7351,6409,55678
Bihar,OTHERS RLY.,66,210,69,4724
Bihar,RAILWAYS,510,594,125,14925
Bihar,RESIDENTIAL PREMISES,6606,2823,30745,63752
Bihar,RIVER & SEA,4,26,0,29
Bihar,RUNNING TRAINS,444,384,56,10201
Bihar,TOTAL (MANUAL),11099,23666,40293,153372
Bihar,TOTAL COMPUTER FROM 1 TO 7,4332,8131,13296,48325
Chandigarh,BANKS,1,0,15,8
Chandigarh,COMMERCIAL ESTABLISHMENTS,10,56,946,4303
Chandigarh,HIGH-WAY,0,0,0,0
Chandigarh,OTHER PLACES,17,295,178,7265
Chandigarh,OTHERS RLY.,0,0,0,0
Chandigarh,RAILWAYS,0,0,0,0
Chandigarh,RESIDENTIAL PREMISES,3,46,1808,6898
Chandigarh,RIVER & SEA,0,0,0,0
Chandigarh,RUNNING TRAINS,0,0,0,0
Chandigarh,TOTAL (MANUAL),31,397,2947,18474
Chandigarh,TOTAL COMPUTER FROM 1 TO 7,10,146,1415,8089
Chhattisgarh,BANKS,22,47,103,417
Chhattisgarh,COMMERCIAL ESTABLISHMENTS,61,133,3459,4792
Chhattisgarh,HIGH-WAY,122,706,321,731
Chhattisgarh,OTHER PLACES,551,3510,5493,37843
Chhattisgarh,OTHERS RLY.,69,65,24,1203
Chhattisgarh,RAILWAYS,72,96,34,2878
Chhattisgarh,RESIDENTIAL PREMISES,636,619,35246,16201
Chhattisgarh,RIVER & SEA,4,2,0,11
Chhattisgarh,RUNNING TRAINS,3,31,10,1675
Chhattisgarh,TOTAL (MANUAL),1468,5113,44656,62873
Chhattisgarh,TOTAL COMPUTER FROM 1 TO 7,268,813,6955,10941
D&N Haveli,BANKS,0,0,4,3
D&N Haveli,COMMERCIAL ESTABLISHMENTS,10,3,143,203
D&N Haveli,HIGH-WAY,1,6,0,11
D&N Haveli,OTHER PLACES,12,11,70,245
D&N Haveli,OTHERS RLY.,0,0,0,0
D&N Haveli,RAILWAYS,0,0,0,0
D&N Haveli,RESIDENTIAL PREMISES,17,10,171,292
D&N Haveli,RIVER & SEA,0,0,0,19
D&N Haveli,RUNNING TRAINS,0,0,0,0
D&N Haveli,TOTAL (MANUAL),40,30,388,773
D&N Haveli,TOTAL COMPUTER FROM 1 TO 7,6,6,130,241
Daman & Diu,BANKS,0,1,3,0
Daman & Diu,COMMERCIAL ESTABLISHMENTS,14,5,226,89
Daman & Diu,HIGH-WAY,0,0,0,1
Daman & Diu,OTHER PLACES,15,15,48,418
Daman & Diu,OTHERS RLY.,0,0,0,0
Daman & Diu,RAILWAYS,0,0,0,0
Daman & Diu,RESIDENTIAL PREMISES,4,2,203,49
Daman & Diu,RIVER & SEA,1,0,0,7
Daman & Diu,RUNNING TRAINS,0,0,0,0
Daman & Diu,TOTAL (MANUAL),34,23,480,564
Daman & Diu,TOTAL COMPUTER FROM 1 TO 7,9,4,147,191
Delhi UT,BANKS,3,3,14,138
Delhi UT,COMMERCIAL ESTABLISHMENTS,63,453,3887,16116
Delhi UT,HIGH-WAY,17,371,0,1128
Delhi UT,OTHER PLACES,144,4452,3496,147093
Delhi UT,OTHERS RLY.,4,60,9,7856
Delhi UT,RAILWAYS,9,90,9,10304
Delhi UT,RESIDENTIAL PREMISES,145,1092,16149,56767
Delhi UT,RIVER & SEA,0,0,0,0
Delhi UT,RUNNING TRAINS,5,30,0,2448
Delhi UT,TOTAL (MANUAL),381,6461,23555,231546
Delhi UT,TOTAL COMPUTER FROM 1 TO 7,202,3226,13021,110299
Goa,BANKS,0,5,53,22
Goa,COMMERCIAL ESTABLISHMENTS,6,27,1012,793
Goa,HIGH-WAY,7,40,0,88
Goa,OTHER PLACES,17,162,646,5825
Goa,OTHERS RLY.,1,2,2,49
Goa,RAILWAYS,1,3,2,121
Goa,RESIDENTIAL PREMISES,24,58,1987,1182
Goa,RIVER & SEA,0,3,0,14
Goa,RUNNING TRAINS,0,1,0,72
Goa,TOTAL (MANUAL),55,298,3700,8045
Goa,TOTAL COMPUTER FROM 1 TO 7,20,93,1294,2137
Gujarat,BANKS,15,28,268,236
Gujarat,COMMERCIAL ESTABLISHMENTS,445,963,10782,25015
Gujarat,HIGH-WAY,528,1039,70,1470
Gujarat,OTHER PLACES,1621,9578,12902,131614
Gujarat,OTHERS RLY.,12,170,2,4324
Gujarat,RAILWAYS,59,514,28,8107
Gujarat,RESIDENTIAL PREMISES,1166,2245,36635,46649
Gujarat,RIVER & SEA,8,16,4,116
Gujarat,RUNNING TRAINS,47,344,26,3783
Gujarat,TOTAL (MANUAL),3842,14383,60689,213207
Gujarat,TOTAL COMPUTER FROM 1 TO 7,2038,5688,26340,84796
Haryana,BANKS,15,57,278,303
Haryana,COMMERCIAL ESTABLISHMENTS,91,490,9135,20822
Haryana,HIGH-WAY,349,1088,282,3960
Haryana,OTHER PLACES,669,3377,5557,69770
Haryana,OTHERS RLY.,7,100,83,3068
Haryana,RAILWAYS,25,137,87,4209
Haryana,RESIDENTIAL PREMISES,225,716,31165,32329
Haryana,RIVER & SEA,1,6,0,1
Haryana,RUNNING TRAINS,18,37,4,1141
Haryana,TOTAL (MANUAL),1375,5871,46504,131394
Haryana,TOTAL COMPUTER FROM 1 TO 7,432,1779,14656,37992
Himachal Pradesh,BANKS,3,8,180,41
Himachal Pradesh,COMMERCIAL ESTABLISHMENTS,6,17,2101,874
Himachal Pradesh,HIGH-WAY,6,33,0,348
Himachal Pradesh,OTHER PLACES,24,147,2843,7229
Himachal Pradesh,OTHERS RLY.,0,1,0,0
Himachal Pradesh,RAILWAYS,0,1,0,10
Himachal Pradesh,RESIDENTIAL PREMISES,6,30,4565,1155
Himachal Pradesh,RIVER & SEA,0,0,0,1
Himachal Pradesh,RUNNING TRAINS,0,0,0,10
Himachal Pradesh,TOTAL (MANUAL),45,236,9689,9658
Himachal Pradesh,TOTAL COMPUTER FROM 1 TO 7,11,78,3178,2629
Jammu & Kashmir,BANKS,13,34,45,6
Jammu & Kashmir,COMMERCIAL ESTABLISHMENTS,6,86,3653,2874
Jammu & Kashmir,HIGH-WAY,3,23,40,291
Jammu & Kashmir,OTHER PLACES,78,781,4178,15801
Jammu & Kashmir,OTHERS RLY.,0,10,80,665
Jammu & Kashmir,RAILWAYS,0,10,80,675
Jammu & Kashmir,RESIDENTIAL PREMISES,88,378,9054,6024
Jammu & Kashmir,RIVER & SEA,0,0,0,96
Jammu & Kashmir,RUNNING TRAINS,0,0,0,10
Jammu & Kashmir,TOTAL (MANUAL),188,1312,17050,25767
Jammu & Kashmir,TOTAL COMPUTER FROM 1 TO 7,108,675,6984,9811
Jharkhand,BANKS,85,91,14,211
Jharkhand,COMMERCIAL ESTABLISHMENTS,163,395,1148,9924
