Area_Name,total_educated,Education_Illiterate,Family_back_ground_Homeless,living_with_perants_and_gardian,Economic_Set_up_Total
Andaman & Nicobar Islands,33800,100,0,33900,33900
Andhra Pradesh,1163400,828000,523400,1468000,1991400
Arunachal Pradesh,99400,19900,100,119200,119300
Assam,328900,166400,64700,430600,495300
Bihar,464200,222900,55300,631800,687100
Chandigarh,90300,27400,3500,114200,117700
Chhattisgarh,1646200,564200,76500,2133900,2210400
Dadra & Nagar Haveli,9800,1600,0,11400,11400
Daman & Diu,3500,1300,400,4400,4800
Delhi,558200,364800,74600,848400,923000
Goa,51000,24300,2100,73200,75300
Gujarat,2264500,618500,258600,2624400,2883000
Haryana,1515700,232700,95100,1653300,1748400
Himachal Pradesh,147100,5100,0,152200,152200
Jammu & Kashmir,9700,1700,100,11300,11400
Jharkhand,416400,239500,70200,585700,655900
Karnataka,300100,143600,23700,420000,443700
Kerala,518700,21700,17600,522800,540400
Lakshadweep,200,0,0,200,200
Madhya Pradesh,5212400,1913000,275400,6850000,7125400
Maharashtra,5119600,991500,268100,5843000,6111100
Manipur,0,0,0,0,0
Meghalaya,52600,31400,3900,80100,84000
Mizoram,138800,42000,11700,169100,180800
Nagaland,11600,700,1400,10900,12300
Odisha,323100,158500,24400,457200,481600
Puducherry,39800,4200,4700,39300,44000
Punjab,94500,48300,2700,140100,142800
Rajasthan,1768800,458500,35200,2192100,2227300
Sikkim,31500,6600,900,37200,38100
Tamil Nadu,1669100,1321500,301800,2688800,2990600
Tripura,11500,9400,4300,16600,20900
Uttar Pradesh,235200,58400,6100,287500,293600
Uttarakhand,73500,26100,8600,91000,99600
West Bengal,158200,32400,19600,171000,190600
