STATE/UT,child_case,women_case
D & N HAVELI,4944,11664
JHARKHAND,602160,19043232
UTTARAKHAND,231000,3973200
CHHATTISGARH,7156730,24421340
MEGHALAYA,138240,385536
MIZORAM,91368,371304
A & N ISLANDS,17640,41040
ANDHRA PRADESH,12268460,178920160
ARUNACHAL PRADESH,97500,791310
ASSAM,1245280,67508444
DAMAN & DIU,2736,6480
HIMACHAL PRADESH,700832,3759712
MAHARASHTRA,34556304,181919328
MANIPUR,153750,543000
NAGALAND,18768,113146
TRIPURA,116044,1684782
WEST BENGAL,4176444,125416302
RAJASTHAN,10073352,160578892
LAKSHADWEEP,96,960
KERALA,3234506,42179524
TAMIL NADU,5552022,64984640
KARNATAKA,2820132,54292728
HARYANA,2374480,30172512
SIKKIM,33240,65640
PUDUCHERRY,12710,76012
ODISHA,1802560,65253360
BIHAR,10652040,86221674
GOA,57600,84600
PUNJAB,3121788,18336972
JAMMU & KASHMIR,278208,18719148
MADHYA PRADESH,57003560,230589040
DELHI,9158967,17600574
CHANDIGARH,36144,101808
GUJARAT,8582400,67171584
UTTAR PRADESH,63219512,393872556
