area_name,sum(rest.AC03_Total_No_of_cases_for_investigation_during_the_year),"sum(rest.""ACA02_No_of_persons_arrested_during_the_year"")"
Dadra & Nagar Haveli,50.0,20.0
Meghalaya,200.0,60.0
Daman & Diu,120.0,0.0
Lakshadweep,90.0,10.0
Tripura,310.0,140.0
Puducherry,1270.0,700.0
Arunachal Pradesh,320.0,30.0
Andaman & Nicobar Islands,1040.0,150.0
Goa,1280.0,330.0
Manipur,1470.0,250.0
Mizoram,560.0,690.0
Uttarakhand,2130.0,530.0
West Bengal,1610.0,90.0
Chandigarh,2410.0,1450.0
Nagaland,1430.0,1530.0
Sikkim,5220.0,1880.0
Assam,7150.0,90.0
Jharkhand,7856.0,2072.0
Chhattisgarh,10314.0,3564.0
Jammu & Kashmir,27440.0,7620.0
Delhi,18500.0,8920.0
Uttar Pradesh,14320.0,5193.0
Bihar,25960.0,19250.0
Gujarat,34220.0,31790.0
Himachal Pradesh,25620.0,11650.0
Madhya Pradesh,28680.0,7580.0
Haryana,39250.0,27700.0
Andhra Pradesh,54690.0,30450.0
Kerala,65450.0,2680.0
Tamil Nadu,43640.0,23660.0
Punjab,68360.0,32430.0
Odisha,71070.0,38710.0
Karnataka,57060.0,27960.0
Maharashtra,106910.0,66020.0
Rajasthan,136410.0,22100.0
