Area_Name,"SUM(""No_of_Cases_in_which_offenders_were_Relatives"")",offenders were relative
Madhya Pradesh,1871,865
Chhattisgarh,856,532
Maharashtra,788,359
Rajasthan,704,337
Jharkhand,545,321
Delhi,301,231
West Bengal,643,211
Punjab,167,163
Haryana,242,149
Uttar Pradesh,936,138
Kerala,406,128
Tamil Nadu,683,116
Assam,771,101
Gujarat,164,97
Odisha,397,73
Uttarakhand,60,71
Andhra Pradesh,890,70
Meghalaya,48,46
Karnataka,250,46
Himachal Pradesh,71,43
Bihar,57,43
Chandigarh,13,17
Mizoram,20,13
Jammu & Kashmir,188,12
Sikkim,4,10
Manipur,2,7
Goa,11,7
Tripura,146,5
Nagaland,0,4
Andaman & Nicobar Islands,1,1
Puducherry,1,0
Lakshadweep,0,0
Daman & Diu,0,0
Dadra & Nagar Haveli,0,0
Arunachal Pradesh,6,0
